LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK,SHORT_PLATFORM
"Coolamon Station",27011,-34.816045,147.201858,10155041,"13 22 32","Wade St, Coolamon NSW 2701","Commuter car park | Wheelchair accessible car space","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements",Train,,,False
"Cooma Coach Stop",263027,-36.234146,149.126521,10150008,,"Centennial Park, Bombala St, Cooma NSW 2630",,,Coach,,,False
"Coonabarabran Coach Stop",23571,-31.279073,149.279362,10150077,,"Coonabarabran Visitor Information Centre, Newell Hwy, Coonabarabran NSW 2357",,,Coach,,,False
"Coonamble Coach Stop",28292,-30.955843,148.389184,10150135,,"Castlereagh Hwy opp Namoi St, Coonamble NSW 2829",,,Coach,,,False
"Coopernook Coach Stop",24261,-31.824628,152.612831,10157155,,"Macquarie St at Mitchell Cl, Coopernook NSW 2426",,,"Regional coach, Bus",,,False
"Cootamundra Station",25901,-34.641038,148.030649,10155050,"13 22 32","Hovell St, Cootamundra NSW 2590","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Toilets | Wheelchair accessible toilet | Emergency help point | Information point | Payphone | Departure indicator screen","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs","Train, Regional coach, Taxi",,,False
"Corowa Coach Stop",26461,-35.998779,146.391492,10150037,,"River St at Sanger St, Corowa NSW 2646",,,Coach,,,False
"Corrimal Station",251820,-34.37572692,150.9049716,10101368,"02 4223 5580","Murray Rd, Corrimal NSW 2518","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Level crossing","Train, Taxi",6.00-10am,3.00-7pm,True
"Cowan Station",208120,-33.59310763,151.1717177,10101132,"02 9847 8496","Pacific Hwy, Cowan NSW 2081","Commuter car park | Bike racks | Toilets | Emergency help point | Information point | Payphone | Free WiFi hotspot | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Level crossing | Stairs",Train,6.00-10am,3.00-7pm,True
"Cowper Coach Stop",24604,-29.573336,153.073751,10150089,,"Pacific Hwy at Telegraph St, Cowper NSW 2460",,,Coach,,,False
"Cowra Coach Stop",27941,-33.834717,148.688777,10150157,,"Macquarie St at Kendal St, Cowra NSW 2794",,,Coach,,,False
"Craboon Junction Coach Stop",284421,-32.03896,149.476512,10150123,,"Castlereagh Hwy before Golden Hwy, Dunedoo NSW 2844",,,Coach,,,False
"Craven Coach Stop",24225,-32.1575,151.9494,10150189,,"3065 The Bucketts Way, Craven NSW 2422",,,Coach,,,False
"Cremorne Point Wharf",209037,-33.84787838,151.2308584,10102025,,"Milson Rd, Cremorne Point NSW 2090","Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles","Bus, Ferry",,,False
"Cringila Station",250520,-34.46717554,150.8784228,10101375,"02 4223 5694","Five Islands Rd, Port Kembla NSW 2505","Commuter car park | Toilets | Emergency help point | Information point | Payphone | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs","Train, Bus",6.00-10am,3.00-7pm,True
"Cronulla Station",223020,-34.05625171,151.1515424,10101351,"02 9522 1245","Cronulla St, Cronulla NSW 2230","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles","Train, Bus, Ferry, Taxi",6.30-10am,3.00-7pm,False
"Crown Street Light Rail",2300134,-32.926418,151.77715,10101503,,"Hunter St, Newcastle NSW 2300","Emergency help point | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Hearing loop | PA system for announcements | Platform edge tactiles | Level crossing","Light rail",6.30-10am,3.00-7pm,False
"Croydon Station",213210,-33.88323425,151.1154882,10101208,"02 9752 8529","Meta St, Croydon NSW 2132","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift",Train,6.30-10am,3.00-7pm,False
"Cudal Coach Stop",28641,-33.286363,148.739524,10150019,,"Main St opp Cudal Post Office, Cudal NSW 2864",,,Coach,,,False
"Culcairn Station",26601,-35.666107,147.038128,10155032,"13 22 32","Balfour St, Culcairn NSW 2660","Commuter car park | Toilets | Emergency help point | Information point","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements","Train, Coach",,,False
"Cullen Bullen Coach Stop",2790135,-33.299749,150.032939,10150234,,"Cullen Bullen Public School, Castlereagh Hwy, Cullen Bullen NSW 2790",,,Coach,,,False
"Cundletown Coach Stop",243063,-31.899585,152.51905,10157694,,"Soldiers Memorial Hall, Main St, Cundletown NSW 2430",,,"Regional coach, Bus",,,False
"Dalgety Coach Stop",26283,-36.50329,148.834386,10161934,,"Campbell St at Briely St, Dalgety NSW 2628",,,Coach,,,False
"Dapto Station",253020,-34.49209044,150.7923283,10101425,"02 4223 5544","Station St, Dapto NSW 2530","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Level crossing","Train, Bus, Coach, Taxi",6.00-10am,3.00-7pm,True
"Darawank Coach Stop",2428168,-32.091869,152.478783,10158276,,"The Lakes Way before Failford Rd, Darawank NSW 2428",,,"Regional coach, Bus",,,False
"Darling Harbour - Wharf 1 and 2",2000270,-33.866467,151.201175,10102052,,"Lime St, Sydney NSW 2000","Emergency help point | Opal card top up machine (Card Payment only) | No Opal card top up or single trip ticket sales | Taxi rank","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Stairs","Bus, Ferry, Taxi",,,False
"Darling Harbour, Aquarium Wharf",2000268,-33.86974,151.201214,10102040,,"Pyrmont NSW 2000",,"This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements",Ferry,,,False
"Darling Harbour, Convention Center Wharf",2000280,-33.872469,151.199652,10103033,,"Pyrmont NSW 2000",,"This location is Independent Access | Wheelchair ramp boarding assistance | Wharf edge tactiles | Stairs",Ferry,,,False
"Darling Harbour, Pier 26",2000269,-33.870136,151.201881,10102054,,"Pyrmont NSW 2000",,"This location is Not Accessible | Wheelchair ramp boarding assistance | Stairs",Ferry,,,False
"Darling Point Wharf",202727,-33.8664518,151.2394906,10102034,,"Darling Point Rd, Darling Point NSW 2027","Bike racks | Emergency help point | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs",Ferry,,,False
"Darlington Point Coach Stop",27061,-34.567662,146.000244,10150261,,"Bridge St opp Stock St, Darlington Point NSW 2706",,,Coach,,,False
"Darnick Station",28781,-32.851214,143.624896,10155004,"13 22 32","Ivanhoe Menindee Rd, Ivanhoe NSW 2878",,"This location is Not Accessible | Wheelchair ramp boarding assistance | Stairs",Train,,,False
"Dee Why B-Line",2099207,-33.752971,151.286433,10119206,,"Pittwater Rd, Dee Why NSW 2099","Transport Park&Ride | Wheelchair accessible car space | Departure indicator screen","This location is Independent Access |","Bus, Taxi",6.30-10am,3.00-7pm,False
"Deepwater Coach Stop",23711,-29.4383,151.8471,10150360,,"New England Hwy at Bourke St, Deepwater NSW 2371",,,Coach,,,False
"Delungra Coach Stop",24031,-29.654333,150.830022,10161847,,"Inverell St at Gunnee St, Delungra NSW 2403",,,Coach,,,False
"Deniliquin Coach Stop",27101,-35.52882,144.96153,10150040,,"Gorman Park, Whitelock St, Deniliquin NSW 2710",,,Coach,,,False
"Denistone Station",211410,-33.79990618,151.0875503,10101200,"02 9752 8461","West Pde, Denistone NSW 2114","Commuter car park | Bike racks | Toilets | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Not Accessible | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs",Train,6.30-10am,3.00-7pm,False
"Derriwong Coach Stop",28776,-33.097654,147.335882,10150285,,"Condobolin Rd, Derriwong, Derriwong NSW 2877",,,Coach,,,False
"Domestic Airport Station",202020,-33.93365963,151.1807857,10101331,,"Keith Smith Ave, Domestic Ariport, Mascot NSW 2020","Kiss and ride stopping area | Taxi rank | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment) | Opal card top up or single trip ticket machine (Card Payment only) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop (ticket counter) | PA system for announcements | Platform edge tactiles | Stairs | Lift | Escalator","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Doonside Station",276710,-33.76398502,150.8683521,10101246,"02 9851 7218","Doonside Cres, Doonside NSW 2767","Commuter car park | Kiss and ride stopping area | Taxi rank | Bike lockers | Toilets | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Not Accessible | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Dora Creek Station",226420,-33.08318747,151.5011621,10101149,"02 4349 9241","Wamsley St, Dora Creek NSW 2264","Commuter car park | Emergency help point | Information point | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs","Train, Bus",6.00-10am,3.00-7pm,True
"Double Bay Wharf",202823,-33.87334922,151.2425813,10102003,,"Bay St, Double Bay NSW 2028","Wheelchair accessible car space | Bike racks | Emergency help point | Departure indicator screen","This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs",Ferry,,,False
"Douglas Park Station",256910,-34.18322665,150.7099378,10101300,"02 4677 1402","Camden Rd, Douglas Park NSW 2569","Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Level crossing",Train,6.00-10am,3.00-7pm,True
"Drummoyne Wharf",204761,-33.84548995,151.1570955,10102013,,"Wolseley St, Drummoyne NSW 2047","Kiss and ride stopping area | Emergency help point | Payphone | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles",Ferry,,,False
"Dubbo Station",28301,-32.245012,148.608182,10155006,"13 22 32","148 Talbragar St, Dubbo NSW 2830","Commuter car park | Wheelchair accessible car space | Taxi rank | Toilets | Wheelchair accessible toilet | Emergency help point | Information point | Payphone | Departure indicator screen","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements","Train, Regional coach, Taxi",,,False
"Dulwich Grove Light Rail",220355,-33.9050373,151.1390126,10101461,,"New Canterbury Rd, Dulwich Hill NSW 2203","Bike racks | Emergency help point","This location is Independent Access | Hearing loop | PA system for announcements | Platform edge tactiles | Level crossing | Stairs | Lift","Light rail",6.30-10am,3.00-7pm,False
"Dulwich Hill Light Rail",220359,-33.91030497,151.1400854,10101462,,"Bedford Cres, Dulwich Hill NSW 2203","Bike racks | Emergency help point","This location is Independent Access | Hearing loop | PA system for announcements | Level crossing | Stairs | Lift","Train, Light rail",6.30-10am,3.00-7pm,False
"Dulwich Hill Station",220310,-33.91110223,151.1409894,10101393,"02 9563 7595","Wardell Rd, Dulwich Hill NSW 2203","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Not Accessible | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs","Train, Bus, Light rail",6.30-10am,3.00-7pm,False
"Dundee Coach Stop",237021,-29.5696,151.8659,10150345,,"New England Hwy opp Severn River Rd, Dundee NSW 2370",,,Coach,,,False
"Dunedoo Coach Stop",28441,-32.015794,149.396238,10150162,,"Rear of Milling Lions Park, Bolaro St, Dunedoo NSW 2844",,,Coach,,,False
"Dungog Station",242010,-32.4022901,151.7595395,10101186,"02 4962 9512","Brown St, Dungog NSW 2420","Commuter car park | Wheelchair accessible car space | Toilets | Emergency help point | Information point | Payphone | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Level crossing | Stairs","Train, Bus",6.00-10am,3.00-7pm,True
"East Hills Station",221320,-33.96160677,150.9848973,10101419,"02 9563 7774","Park Rd, East Hills NSW 2213","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"East Maitland Station",232330,-32.74487523,151.5874213,10101176,"02 4985 7449","Melbourne St, East Maitland NSW 2323","Commuter car park | Toilets | Emergency help point | Information point | Payphone | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs",Train,6.00-10am,3.00-7pm,True
"East Richmond Station",275310,-33.60179614,150.759234,10101244,"02 9851 7248","Bourke St, Richmond NSW 2753","Commuter car park | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Level crossing | Stairs","Train, Bus",6.30-10am,3.00-7pm,False
"Eastwood Station",212210,-33.7900214,151.0822335,10101199,"02 9752 8493","West Pde, Eastwood NSW 2122","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike shed | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Echuca Coach Stop",35641,-36.124102,144.751933,10150248,,"Echuca Moama Visitor Information Centre, Heygarth St, Echuca VIC 3564",,,Coach,,,False
"Eden Coach Stop",25511,-37.065712,149.906725,10150351,,"Twofold Arcade, Imlay St, Eden NSW 2551",,,"Coach, Bus",,,False
"Edgecliff Station",202710,-33.87925148,151.2361614,10101108,"02 9379 4652","New South Head Rd, Edgecliff NSW 2027","Kiss and ride stopping area | Taxi rank | Bike racks | Bike shed | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift | Escalator","Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"Edmondson Park Station",217426,-33.9693,150.8587,10101447,"02 9765 1451","Soldiers Pde, Edmondson Park NSW 2174","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Eltham Coach Stop",24803,-28.755837,153.394117,10162129,,"Eltham Tennis Courts, Eltham Rd, Eltham NSW 2480",,,Coach,,,False
"Emmdale Coach Stop",28361,-31.653308,144.268255,10150186,,"Emmdale Roadhouse, Barrier Highway, Wilcannia NSW 2836",,,Coach,,,False
"Emu Plains Station",275020,-33.74556778,150.6722867,10101253,"02 4780 3817","Station St, Emu Plains NSW 2750","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Bike lockers | Bike shed | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.30-10am,3.00-7pm,True
"Engadine Station",223310,-34.06789901,151.0146529,10101353,"02 9522 1224","Princes Hwy, Engadine NSW 2233","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"Epping Station",212110,-33.77284145,151.0821766,10101429,"02 8878 4100","Beecroft Rd, Epping NSW 2121","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine (Cash or Card Payment) | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank | Bike shed","This location is Independent Access | Escalator | Lift | Stairs | Hearing loop | Wheelchair ramp boarding assistance | Platform edge tactiles | PA system for announcements","Metro, Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"Erskineville Station",204310,-33.9008581,151.1853076,10101324,"02 9563 7579","Swanson St, Erskineville NSW 2043","Kiss and ride stopping area | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Not Accessible | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs","Train, Bus",6.30-10am,3.00-7pm,False
"ES Marks Light Rail",203362,-33.905813,151.223925,10101613,,"Anzac Pde, Moore Park NSW 2021","Bike racks | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Hearing loop | Platform edge tactiles | Level crossing","Light rail",6.30-10am,3.00-7pm,False
"Euabalong Coach Stop",28775,-33.108964,146.473193,10150287,,"Lachlan St opp Royal Hotel, Euabalong NSW 2877",,,Coach,,,False
"Euabalong West Coach Stop",28777,-33.055715,146.394249,10150297,,"Uabba St at Murrin St, Euabalong West NSW 2877",,,Coach,,,False
"Euabalong West Station",28771,-33.0548,146.3909,10155018,"13 22 32","Uabba St, Euabalong West NSW 2877",,"This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs",Train,,,False
"Eugowra Coach Stop",28061,-33.427064,148.369866,10150251,,"Broad St at Myall St, Eugowra NSW 2806",,,Coach,,,False
"Eumungurie Coach Stop",28315,-31.949295,148.619853,10150272,,"Railway St after Mogriguy Rd, Eumungerie NSW 2831",,,Coach,,,False
"Eungai Station",24411,-30.8497,152.9001,10155049,"13 22 32","South Bank Rd, Eungai Rail NSW 2441","Commuter car park","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements",Train,,,False
"Euston Coach Stop",27371,-34.577328,142.744641,10150246,,"Murray Tce opp Euston General Store, Euston NSW 2737",,,Coach,,,False
"Evans Head Coach Stop",24731,-29.118619,153.431145,10150359,,"Evans Head Library, Woodburn St, Evans Head NSW 2473",,,"Coach, Bus",,,False
"Exeter Station",257930,-34.61377487,150.3173447,10101309,"02 4868 1115","Middle Rd, Exeter NSW 2579","Commuter car park | Bike racks | Toilets | Emergency help point | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Level crossing","Train, Bus",6.00-10am,3.00-7pm,True
"Exhibition Centre Light Rail",2000203,-33.87719386,151.1997027,10101440,,"Darling Dr, Sydney NSW 2000","Emergency help point | No Opal card top up or single trip ticket sales","This location is Independent Access | PA system for announcements | Platform edge tactiles | Level crossing | Stairs","Light rail",6.30-10am,3.00-7pm,False
"Fairfield Station",216510,-33.87233065,150.9570711,10101285,"02 9765 1641","The Crescent, Fairfield NSW 2165","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Fairy Meadow Station",251910,-34.39583411,150.8961702,10101370,"02 4223 5582","Elliots Rd, Fairy Meadow NSW 2519","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Bike lockers | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift | Hearing loop","Train, Taxi",6.00-10am,3.00-7pm,True
"Fassifern Station",228330,-32.9857882,151.5812509,10101151,"02 4985 7209","Tucker Close, Fassifern NSW 2283","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Toilets | Emergency help point | Payphone | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.00-10am,3.00-7pm,True
"Faulconbridge Station",277610,-33.69648835,150.5350339,10101260,"02 4780 3906","Great Western Hwy, Faulconbridge NSW 2776","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift | Hearing loop","Train, Bus",6.00-10am,3.00-7pm,True
"Finley Coach Stop",27131,-35.639939,145.579341,10150200,,"Finley War Memorial, Wollamai St, Finley NSW 2713",,,Coach,,,False
"Fish Market Light Rail",200952,-33.87091734,151.192293,10101435,,"Miller St, Pyrmont NSW 2009","Emergency help point | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | PA system for announcements | Platform edge tactiles | Level crossing | Stairs | Lift","Light rail",6.30-10am,3.00-7pm,False
"Fish Market Wharf",200945,-33.873317,151.191755,10103024,,"Pyrmont Bridge Rd, Pyrmont NSW 2009",,"This location is Not Accessible |",Ferry,,,False
"Flemington Station",214020,-33.86482229,151.0697665,10101217,"02 9752 8477","The Crescent, Homebush West NSW 2140","Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Forbes Coach Stop",28711,-33.379132,148.01189,10150326,,"Forbes Visitor Information Centre, Union St, Forbes NSW 2871",,,Coach,,,False
"Forster Coach Stop",24281,-32.18311,152.513002,10150029,,"Forster Tuncurry Visitor Information Centre, Little St, Forster NSW 2428",,,Coach,,,False
"Forster Keys Coach Stop",24282,-32.212959,152.525439,10150028,,"The Lakes Way before Cape Hawk Dr, Forster NSW 2428",,,"Coach, Bus",,,False
"Frederickton Coach Stop",244068,-31.035596,152.866693,10161630,,"Macleay St at Christmas St, Frederickton NSW 2440",,,"Regional coach, Bus",,,False
"Galong Coach Stop",25851,-34.601176,148.557725,10150337,,"Bent St at McMahon St, Galong NSW 2585",,,Coach,,,False
"Ganmain Coach Stop",27021,-34.793782,147.03889,10150033,,"Ford St at Hort St, Ganmain NSW 2702",,,Coach,,,False
"Garden Island Wharf",201119,-33.85813587,151.2299226,10102001,,"Garden Island Peninsula, Potts Point NSW 2011","Toilets | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Stairs",Ferry,,,False
"Gerogery Coach Stop",264267,-35.83613,146.993483,10156282,,"Gerogery Post Office, Main St, Gerogery NSW 2642",,,Coach,,,False
"Gerringong Station",253420,-34.74488594,150.8175078,10101387,"02 4234 1422","Grey St, Gerringong NSW 2534","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Toilets | Emergency help point | Information point | Payphone | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles","Train, Taxi",6.00-10am,3.00-7pm,True
"Geurie Station",28311,-32.398277,148.830581,10155013,"13 22 32","Mitchell Hwy, Geurie NSW 2818","Commuter car park | Information point","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements","Train, Coach, Bus",,,False
"Gibraltar Range Coach Stop",23702,-29.513902,152.312939,10150314,,"Gwydir Hwy, Gilbraltar Range NSW 2370",,,Coach,,,False
"Gilgai Coach Stop",23602,-29.853765,151.117179,10150330,,"Marsh St at Hall St, Gilgai NSW 2360",,,Coach,,,False
"Gilgandra Coach Stop",28271,-31.711945,148.665964,10150116,,"Warren St before Morris St, Gilgandra NSW 2827",,,Coach,,,False
"Girilambone Coach Stop",28318,-31.711945,148.665964,10150263,,"Mitchell Hwy opp Girilambone Country Store, Girilambone NSW 2831",,,Coach,,,False
"Glebe Light Rail Light Rail",203755,-33.87715587,151.1873612,10101433,,"Lower Avon St, Glebe NSW 2037","Emergency help point | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | PA system for announcements | Platform edge tactiles | Level crossing | Stairs","Light rail",6.30-10am,3.00-7pm,False
"Glen Innes Coach Stop",23701,-29.7383,151.7377,10150315,,"Glen Innes Visitor Information Centre, 152 Church St, Glen Innes NSW 2370",,,Coach,,,False
"Glenbrook Station",277310,-33.76900437,150.6208342,10101255,"02 4780 3805","Burfitt Pde, Glenbrook NSW 2773","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Opal card top up or single trip ticket machine (Card Payment only) | Information point","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.00-10am,3.00-7pm,True
"Glencoe Coach Stop",23652,-29.925909,151.723766,10150098,,"Red Lion Hotel, New England Hwy, Glencoe NSW 2365",,,Coach,,,False
